"Phase Code","Email Code","Phase Name","Manual Send Point / Timing","Email Headline","Purpose","Primary CTA","Staff Instruction"
"WL","WL-01","Waiting List / Before Account Creation","Day 0 when access is ready","Your Muslim Will Access Is Ready","Invite the waiting-list customer to create an account.","Create Your Account","Use for non-BHOPE leads only."
"WL","WL-R1","Waiting List / Before Account Creation","Day 2 if no account created","A Quick Reminder to Create Your Muslim Will Account","Gentle nudge after no action.","Create Your Account","Keep it short and supportive."
"WL","WL-R2","Waiting List / Before Account Creation","Day 5 if no account created","Your Access Is Still Available","Remind them they can still begin.","Create Your Account","Avoid pressure."
"WL","WL-R3","Waiting List / Before Account Creation","Day 10 if no account created","Many Families Delay Will Planning. You Can Start Clearly.","Educational reminder, not only a sales nudge.","Start Clearly","Add educational value."
"WL","WL-R4","Waiting List / Before Account Creation","Day 21 if no account created","Final Reminder: Your Muslim Will Access Is Waiting","Last direct reminder before slower nurture.","Create Your Account","Use final-reminder language carefully."
"WL","WL-R5","Waiting List / Before Account Creation","Day 30 if no account created","Still Thinking About Your Will? We Are Here to Help","Soft long-term re-engagement.","Ask a Question / Create Account","Move to slower nurture after this."
"SETUP","SETUP-01","Account Created / Setup Incomplete","Day 0 when setup or payment is incomplete","Complete Your Setup to Continue","Tell the customer their setup/payment step is not complete yet.","Complete Setup","Payment currently happens before intake. Do not say payment failed unless confirmed."
"SETUP","SETUP-R1","Account Created / Setup Incomplete","24 hours later","Your Muslim Will Setup Is Almost Complete","Catch customers who paused or got distracted.","Complete Setup","Offer support if they seem stuck."
"SETUP","SETUP-R2","Account Created / Setup Incomplete","Day 3","Need Help Completing Your Setup?","Offer support and remove friction.","Get Help / Complete Setup","Include WhatsApp, email, and scheduler."
"SETUP","SETUP-R3","Account Created / Setup Incomplete","Day 7","Your Account Is Ready When You Are","Softer reminder with lower pressure.","Complete Setup","Keep the tone calm."
"SETUP","SETUP-R4","Account Created / Setup Incomplete","Day 14","A Final Reminder to Continue Your Muslim Will Setup","Last direct setup reminder before slower nurture.","Complete Setup","Use final-reminder language carefully."
"INTP","INTP-01","Payment Complete / Intake Not Completed","2 days after payment if intake is incomplete","Continue Your Will Intake","Guide the paid customer back into the intake form.","Continue Your Intake","After 2 days, treat the paid client as stuck. Tone should be client care, not sales."
"INTP","INTP-R1","Payment Complete / Intake Not Completed","Day 5 after payment if intake is incomplete","Need Help With Your Will Intake?","Offer support and reduce confusion.","Get Help / Continue Intake","Use section-specific support if available."
"INTP","INTP-R2","Payment Complete / Intake Not Completed","Day 9 after payment if intake is incomplete","Complete Your Intake So We Can Begin Review","Connect the action to the next stage.","Continue Your Intake","Be clear that review cannot begin yet."
"INTP","INTP-R3","Payment Complete / Intake Not Completed","Day 14 after payment if intake is incomplete","A Final Reminder to Submit Your Information","Last direct intake reminder.","Submit Your Information","Escalate to scheduler if needed."
"INT","INT-R1","Intake In Progress","24 hours inactive","Your Intake Progress Has Been Saved","Reassure the customer.","Continue Your Intake","Use if intake is started but not submitted."
"INT","INT-R2","Intake In Progress","Day 3 inactive","Need Help Completing a Section?","Offer support for confusing sections.","Get Help / Continue Intake","Add section-specific explainer link."
"INT","INT-R3","Intake In Progress","Day 7 inactive","Complete Your Intake to Move to Document Review","Explain the next milestone.","Continue Your Intake","Clarify that review cannot begin yet."
"DR","DR-01","Meeting 1 Booking","Immediately after intake submission","Book Your Document Review Session","Ask customer to book Meeting 1.","Book Your Session","Put booking, witness IDs, and ID requirements near the top."
"DR","DR-R1","Meeting 1 Booking","24 hours after no booking","Reminder: Please Book Your Document Review Session","Gentle booking reminder.","Book Your Session","Use one clear booking CTA."
"DR","DR-R2","Meeting 1 Booking","Day 3 after no booking","Your Document Review Session Still Needs to Be Booked","Clear next-step reminder.","Book Your Session","Keep tone professional."
"DR","DR-R3","Meeting 1 Booking","Day 7 after no booking","Action Needed: Book Your First Review Session","Stronger final booking reminder.","Book Your Session","Use Action Needed only when required."
"DRP","DRP-01","Meeting 1 Preparation","Immediately after booking","Prepare for Your Document Review Session","Explain what to prepare.","Submit IDs","Customer, witness, and applicable PoA recipient IDs are process-critical for Meeting 1."
"DRP","DRP-R1","Meeting 1 Preparation","48 hours before Meeting 1","Your Document Review Session Is Coming Up","General preparation reminder.","Review Details","Mention IDs if not received."
"DRP","DRP-R2","Meeting 1 Preparation","24 hours before Meeting 1","Reminder: Please Submit Required IDs Before Your Session","Ensure IDs are submitted.","Submit IDs","Escalate if IDs are missing."
"DRP","DRP-R3","Meeting 1 Preparation","2 hours before Meeting 1","Starting Soon: Your Document Review Session","Same-day reminder.","Join Session","Keep short and practical."
"NEXT","NEXT-01","After Meeting 1 / Internal Updates","After Meeting 1 is complete","Your Package Is Moving to the Next Step","Confirm Meeting 1 is complete.","No action unless requested","Send amendments request if needed."
"NEXT","NEXT-A1","After Meeting 1 / Amendments Needed","If amendments or missing info are required","Please Review These Updates Before We Proceed","Ask for approval or missing information.","Review Updates","Do not proceed until required confirmation is received."
"IR","IR-01","Islamic Review Started","When Islamic review begins","Your Package Is Now Under Islamic Review","Confirm Islamic review has started and explain the 3-5 business day window.","No action","Use Islamic review compliance wording."
"IR","IR-D1","Islamic Review Delay Update","If review exceeds 5 business days","A Quick Update on Your Islamic Review","Reassure the customer and explain timing.","No action","Send only if delayed."
"IRC","IRC-01","Islamic Review Complete","When Islamic review is complete","Your Islamic Review Is Complete","Confirm review completion.","Book Final Session","Move client toward attestation."
"AT","AT-01","Meeting 2 Booking","After Islamic review complete","Book Your Attestation Session","Ask customer to book final session.","Book Final Session","Final-stage professional tone."
"AT","AT-R1","Meeting 2 Booking","24 hours after no booking","Reminder: Please Book Your Attestation Session","Gentle reminder.","Book Final Session","Use one clear CTA."
"AT","AT-R2","Meeting 2 Booking","Day 3 after no booking","Your Final Session Still Needs to Be Booked","Clear next-step reminder.","Book Final Session","Mention final stage."
"AT","AT-R3","Meeting 2 Booking","Day 7 after no booking","Action Needed: Book Your Attestation Session","Stronger final reminder.","Book Final Session","Escalate to WhatsApp if appropriate."
"ATP","ATP-01","Meeting 2 Preparation","Immediately after booking","How to Prepare for Your Final Session","Explain customer and witness requirements.","Review Requirements","Witnesses and IDs are critical."
"ATP","ATP-R1","Meeting 2 Preparation","72 hours before Meeting 2","Your Final Session Is Coming Up","General final-session reminder.","Review Requirements","Use 72 hours because witnesses may need time."
"ATP","ATP-R2","Meeting 2 Preparation","24 hours before Meeting 2","Reminder: Please Prepare Your Witnesses and IDs","Confirm witnesses and IDs.","Prepare IDs","Escalate if missing."
"ATP","ATP-R3","Meeting 2 Preparation","2 hours before Meeting 2","Starting Soon: Your Attestation Session","Same-day reminder.","Join Session","Keep short and practical."
"CMP","CMP-01","Completion Confirmation","After completion","Your Will Package Is Complete","Confirm completion and explain final details.","View Completion Details","Warm and dignified close."
"CMP","CMP-F1","Post-Completion Follow-Up","14 days after completion","Thank You for Trusting Muslim Will","Relationship follow-up, support, feedback, and referral prompt.","Share Feedback","Do not make it feel salesy."
"REV","REV-01","Annual Review","12 months after completion","A Simple Reminder to Review Your Will","Encourage annual review.","Review Your Will","Use as long-term client care."
"REV","REV-L1","Life Event Review","Life-event campaign when relevant","When Life Changes, Your Will May Need to Change Too","Educate around life events that may require updates.","Request a Review","Do not pressure unnecessary updates."
